fname,ARIMA,SARIMA,RNN,LSTM
D27.csv,91.23179855268368,41.373012874261676,0.30086145,19.382331771850545
D136.csv,613.2660046523762,842.6282028417124,0.016348422,366.6992594401042
D155.csv,56.34231059907133,46.48137345354542,0.04108881,13.997988891601544
D41.csv,2159.4825092613755,940.5938276385215,0.05550124,427.7375366210937
D47.csv,21.806085818777206,16.720246054625267,0.044400126,17.132848358154277
D32.csv,102.0199705904504,83.73992718381191,0.006608578,88.88008117675781
D131.csv,170.01563812931786,187.95934923931344,0.04478365,175.2439956665039
D46.csv,346.40268646599907,237.93016533837664,0.6863272,176.34814453125
D142.csv,30.377010451786145,30.51566721199264,0.058582146,11.829724502563478
D31.csv,98.69375,91.0971925530867,0.015441527,108.94099426269531
D9.csv,13.927092820948022,14.062945746689767,0.10556841,12.843378753662112
D154.csv,283.78025471359354,378.8699897870786,0.0627696,272.02970123291027
D15.csv,87.71827768919925,86.63448176963566,0.012797396,43.48837699890136
D30.csv,68.74875,39.226474247610696,0.024579724,20.505335235595695
D133.csv,750.0,555.0956501105136,0.23178104,1037.8716905381943
D5.csv,168.29907967416864,75.98507782348236,0.12699807,395.8600280761718
D146.csv,45.26237862105873,28.677809636552222,0.13477454,18.376643714904777
D156.csv,490.65196262693973,213.52729381683451,0.053523313,153.8729064941406
D6.csv,66.56196785868319,26.72767351968211,0.34165657,19.317611877441404
D132.csv,3864.4407787790587,2651.792305293692,0.44256315,829.636962890625
D40.csv,111.14285233431814,65.43812993324394,0.08948997,82.81703814338238
D145.csv,99.8350845926268,138.3694582639398,0.038461626,51.65928497314458
D153.csv,187.38000000000005,158.08316921991369,0.5907336,44.4143611907959
D50.csv,0.016971202024977927,0.016491019437429345,0.08087481,0.009544587135315474
D37.csv,71.38003878453365,182.1141087863875,0.027489334,90.22930438701923
D151.csv,146.52557023661205,119.42651963987404,0.091718644,163.28722564412107
D7.csv,477.9176035852214,580.3014442639474,0.04904653,178.66031211090086
D148.csv,187.286750996755,170.34644377354329,0.03634481,125.55204010009766
D49.csv,794.0743885104305,769.8946770101722,0.058457892,414.71042289733884
